Nominal mass	Compositions	Charges
92	H8C3OS,H8C2CxOS,H8C3OSx,H8CCx2OS	-1,1
92	H4C5N2,H4C4CxN2,H4C3Cx2N2,H4C2Cx3N2	-1,1
92	H8C3O3,H8C2CxO3,H8C3O2Ox,H8CCx2O3	-1,1
92	H6C6N,H6C5CxN,H6C4Cx2N,H6C3Cx3N	1
92	H8C7,H8C6Cx,H8C4Cx3	1
93	H3C4N3,H3C3CxN3,H3C2Cx2N3,H3CCx3N3	-1,1
93	H5C6O,H5C5CxO,H5C4Cx2O,H5C3Cx3O	1
93	H7C6N,H7C5CxN,H7C4Cx2N,H7C3Cx3N	-1,1
94	OK2	1
94	H3OAs	-1
94	H2COS2,H2COSSx	-1
94	H3C2O2Cl,H3CCxO2Cl,H3C2O2Clx,H3C2OOxCl	-1
94	HC3F3,HC2CxF3,HCCx2F3	-1
94	H6CO3Si,H6CO2OxSi	-1
94	H6C2O2S,H6CCxO2S,H6C2O2Sx,H6C2OOxS	-1
94	H2C4N2O,H2C3CxN2O,H2C2Cx2N2O,H2CCx3N2O	-1,1
94	H6C2O4,H6CCxO4,H6C2O3Ox	-1
94	H6C6O,H6C5CxO,H6C4Cx2O,H6C3Cx3O	-1,1
94	H6C5N2,H6C4CxN2,H6C3Cx2N2,H6C2Cx3N2	-1,1
94	H10C7,H10C6Cx,H10C4Cx3	-1,1
95	H5CNO2S,H5CNOOxS	-1
95	H5C5NO,H5C4CxNO,H5C3Cx2NO,H5C2Cx3NO	-1,1
95	H5C4N3,H5C3CxN3,H5CCx3N3	-1,1
95	H10C3NCl,H10C2CxNCl,H10C3NClx	1
95	H9C6N,H9C5CxN,H9C3Cx3N	1
96	NaClK-H	1
96	HOBr	-1
96	O4S,O4Sx,O3OxS	1
96	H2C2Cl2,H2CCxCl2,H2C2ClClx	1
96	H4O4Si,H4O3OxSi	-1
96	H4CO3S,H4CO3Sx,H4CO2OxS	-1,1
96	H2C2O2F2,H2CCxO2F2,H2C2OOxF2	-1,1
96	H5C3O2Na,H5C2CxO2Na,H5C3OOxNa,H5CCx2O2Na	-1
96	H4C5O2,H4C4CxO2,H4C5OOx,H4C3Cx2O2,H4C2Cx3O2	-1,1
96	H4C4N2O,H4C3CxN2O,H4C2Cx2N2O,H4CCx3N2O	-1,1
96	H8CN2O3,H8CN2O2Ox	1
96	H8C6O,H8C5CxO,H8C4Cx2O,H8C3Cx3O	-1,1
96	H8C5N2,H8C4CxN2,H8C3Cx2N2,H8C2Cx3N2	-1,1
96	H12C7,H12C6Cx,H12C4Cx3	1
97	HS3,HS2Sx	-1
97	HO4S,HO4Sx	-1
97	H2O4P,H2O3OxP	-1
97	H3NO3S,H3NO3Sx,H3NO2OxS	-1
97	H2C5Cl,H2C4CxCl,H2C5Clx,H2C3Cx2Cl,H2C2Cx3Cl	1
97	H4NO3P,H4NO2OxP	-1,1
97	H4CNO2Cl,H4CNO2Clx,H4CNOOxCl	-1
97	H3C4NO2,H3C3CxNO2,H3C4NOOx,H3C2Cx2NO2,H3CCx3NO2	-1,1
97	H3C3N3O,H3C2CxN3O	-1
97	H7C5NO,H7C4CxNO,H7C3Cx2NO,H7C2Cx3NO	-1,1
97	H7C4N3,H7C3CxN3,H7C2Cx2N3,H7CCx3N3	-1,1
97	H11C6N,H11C5CxN,H11C4Cx2N,H11C3Cx3N	1
98	H2NOPCl	-1
98	H5P3	-1
98	H2O4S,H2O4Sx,H2O3OxS	-1,1
98	H3O4P,H3O3OxP	-1,1
98	H3C2O2K,H3CCxO2K,H2HxC2O2K,H3C2OOxK	-1,1
98	H3C5Cl,H3C4CxCl,H3C5Clx	-1
98	H3C2O3Na,H3C2O2OxNa	-1
98	H6C5S,H6C4CxS,H6C5Sx,H6C3Cx2S,H6C2Cx3S	-1
98	H6C5O2,H6C4CxO2,H6C5OOx,H6C3Cx2O2,H6C2Cx3O2	-1,1
98	H6C4N2O,H6C3CxN2O,H6C2Cx2N2O,H6CCx3N2O	-1,1
98	H10C6O,H10C5CxO,H10C4Cx2O,H10C3Cx3O	-1,1
98	H10C5N2,H10C4CxN2,H10C3Cx2N2,H10C2Cx3N2	1
98	H14C7,H14C6Cx,H14C4Cx3	1
99	H3C4O3,H3C3CxO3,H3C4O2Ox,H3C2Cx2O3,H3CCx3O3	-1
99	H5C4NS,H5C3CxNS,H5C4NSx,H5C2Cx2NS,H5CCx3NS	1
99	H5C4NO2,H5C3CxNO2,H5C4NOOx,H5C2Cx2NO2,H5CCx3NO2	-1,1
99	H5C3N3O,H5C2CxN3O,H5CCx2N3O	-1,1
99	H9C5NO,H9C4CxNO,H9C3Cx2NO,H9C2Cx3NO	-1,1
99	H9C4N3,H9C3CxN3,H9C2Cx2N3,H9CCx3N3	1
99	H13C6N,H13C5CxN,H13C4Cx2N,H13C3Cx3N	1
100	HCO3K,HCO2OxK	-1
100	HO4Cl,HO4Clx,HO3OxCl	-1
100	HO3FS,HO3FSx,HO2OxFS	-1
100	H5C2ONaS,H5CCxONaS,H5C2ONaSx	1
100	H4C3N2S,H4C2CxN2S,H4C3N2Sx,H4CCx2N2S	1
100	H3C2OF3,H3CCxOF3	-1
100	H5C2O3Na,H5CCxO3Na,H5C2O2OxNa	-1
100	H4C4O3,H4C3CxO3,H4C4O2Ox,H4C2Cx2O3,H4CCx3O3	-1,1
100	H4C3N2O2,H4C2CxN2O2,H4C3N2OOx,H4CCx2N2O2	-1,1
100	H8C5O2,H8C4CxO2,H8C5OOx,H8C3Cx2O2,H8C2Cx3O2	-1,1
100	H8C4N2O,H8C3CxN2O,H8C2Cx2N2O,H8CCx3N2O,H8Cx4N2O	-1,1
100	H12C6O,H12C5CxO,H12C4Cx2O,H12C3Cx3O	-1,1
100	H12C5N2,H12C4CxN2,H12C3Cx2N2,H12C2Cx3N2	1
101	H3C2N3S,H3CCxN3S,H3C2N3Sx	1
101	H5C4O3,H5C3CxO3,H5C4O2Ox,H5C2Cx2O3,H5CCx3O3	1
101	H7C4NS,H7C3CxNS,H7C4NSx,H7C2Cx2NS,H7CCx3NS	-1,1
101	H7C4NO2,H7C3CxNO2,H7C4NOOx,H7C2Cx2NO2,H7CCx3NO2,H7Cx4NO2	-1,1
101	H7C2N5,H7CCxN5	1
101	H11C5NO,H11C4CxNO,H11C3Cx2NO,H11C2Cx3NO	1
101	H15C6N,H15C5CxN,H15C4Cx2N,H15C3Cx3N	1
102	H3O4Cl,H3O4Clx,H3O3OxCl	-1
102	H3CO4Na,H3CO3OxNa	-1
102	H6C4O3,H6C3CxO3,H6C4O2Ox,H6C2Cx2O3,H6CCx3O3	-1,1
102	H6C3N2O2,H6C2CxN2O2,H6C3N2OOx,H6CCx2N2O2	-1,1
102	H6C8,H6C7Cx,H6C6Cx2,H6C5Cx3	1
102	H10C5O2,H10C4CxO2,H10C5OOx,H10C3Cx2O2,H10C2Cx3O2	-1,1
102	H10C4N2O,H10C3CxN2O,H10C2Cx2N2O,H10CCx3N2O	-1,1
102	H14C5N2,H14C4CxN2,H14C3Cx2N2,H14C2Cx3N2	1
103	H2CNaPCl,H2CNaPClx	1
103	H3CO2Fe,H3COOxFe	-1,1
103	H5C3NO3,H5C2CxNO3,H5C3NO2Ox,H5CCx2NO3	-1,1
103	H5C2N3O2,H5CCxN3O2,H5C2N3OOx	-1,1
103	H5C7N,H5C6CxN,H5C5Cx2N,H5C4Cx3N	1
103	H9C4NS,H9C3CxNS,H9C4NSx,H9C2Cx2NS,H9CCx3NS	1
103	H9C4NO2,H9C3CxNO2,H9C4NOOx,H9C2Cx2NO2,H9CCx3NO2	-1,1
103	H13C5NO,H13C5NxO,H13C4CxNO,H12HxC5NO,H13C4CxNxO,H13C5NOx,H13C3Cx2NO,H12HxC4CxNO,H13C2Cx3NO	1
104	H4C3S2,H4C2CxS2,H4C3SSx,H4CCx2S2	-1
104	H4C3O2S,H4C2CxO2S,H4C3O2Sx,H4C3OOxS,H4CCx2O2S	1
104	H4C3O4,H4C2CxO4,H4C3O3Ox,H4CCx2O4	-1,1
