Nominal mass	Compositions	Charges
324	H28C14O8,H28C13CxO8,H28C14O7Ox,H28C12Cx2O8,H28C11Cx3O8	-1,1
324	H24C20N2O2,H24C19CxN2O2,H24C20N2OOx,H24C18Cx2N2O2,H24C17Cx3N2O2	1
324	H28C18O5,H28C17CxO5,H28C18O4Ox,H28C16Cx2O5,H28C15Cx3O5	-1,1
324	H24C19N4O,H24C18CxN4O,H24C17Cx2N4O,H24C16Cx3N4O	-1,1
324	H29C18N2OCl,H29C17CxN2OCl,H29C18N2OClx,H29C16Cx2N2OCl,H29C15Cx3N2OCl	-1,1
324	H28C17N2O4,H28C16CxN2O4,H28C17N2O3Ox,H28C15Cx2N2O4,H28C14Cx3N2O4	-1,1
324	H28C22O2,H28C21CxO2,H28C22OOx,H28C20Cx2O2,H28C19Cx3O2	1
324	H28C21N2O,H28C20CxN2O,H28C19Cx2N2O,H28C18Cx3N2O	1
324	H32C19O4,H32C18CxO4,H32C19O3Ox,H32C17Cx2O4,H32C16Cx3O4	-1,1
324	H36C20O3,H36C19CxO3,H36C20O2Ox,H36C18Cx2O3,H36C17Cx3O3	-1,1
324	H40C21O2,H40C20CxO2,H40C21OOx,H40C19Cx2O2,H40C18Cx3O2	-1,1
325	H6C8NO4PClBr,H6C7CxNO4PClBr,H6C8NO3OxPClBr,H6C6Cx2NO4PClBr,H6C5Cx3NO4PClBr	-1
325	H12C12N3OSBr,H12C11CxN3OSBr,H12C12N3OSxBr,H12C10Cx2N3OSBr,H12C9Cx3N3OSBr	-1
325	H9C12N5O2F2S,H9C11CxN5O2F2S,H9C12N5O2F2Sx,H9C12N5OOxF2S,H9C10Cx2N5O2F2S,H9C9Cx3N5O2F2S	1
325	H16C14N3O2SCl,H16C13CxN3O2SCl,H16C14N3O2SxCl,H16C14N3O2SClx,H16C14N3OOxSCl,H16C12Cx2N3O2SCl,H16C11Cx3N3O2SCl	-1
325	H11C16N3O5,H11C15CxN3O5,H11C16N3O4Ox,H11C14Cx2N3O5,H11C13Cx3N3O5	-1
325	H15C14NO8,H15C13CxNO8,H15C14NO7Ox,H15C12Cx2NO8,H15C11Cx3NO8	-1
325	H19C15NO3S2,H19C14CxNO3S2,H19C15NO3SSx,H19C15NO2OxS2,H19C13Cx2NO3S2,H19C12Cx3NO3S2	-1,1
325	H11C20N3O2,H11C19CxN3O2,H11C20N3OOx,H11C18Cx2N3O2,H11C17Cx3N3O2	1
325	H15C17N3O2S,H15C16CxN3O2S,H15C17N3O2Sx,H15C17N3OOxS,H15C15Cx2N3O2S,H15C14Cx3N3O2S	-1
325	H14C14N5F2Cl,H14C13CxN5F2Cl,H14C14N5F2Clx,H14C12Cx2N5F2Cl,H14C11Cx3N5F2Cl	1
325	H16C18N3OCl,H16C17CxN3OCl,H16C18N3OClx,H16C16Cx2N3OCl,H16C15Cx3N3OCl	1
325	H15C16N5OS,H15C15CxN5OS,H15C16N5OSx,H15C14Cx2N5OS,H15C13Cx3N5OS	-1
325	H21C17NOCl2,H21C16CxNOCl2,H21C17NOClClx,H21C15Cx2NOCl2,H21C14Cx3NOCl2	-1
325	H19C11NO10,H19C10CxNO10,H19C11NO9Ox,H19C9Cx2NO10,H19C8Cx3NO10	-1,1
325	H15C12N5O6,H15C11CxN5O6,H15C12N5O5Ox,H15C10Cx2N5O6,H15C9Cx3N5O6	-1
325	H14C15N3O2F3,H14C14CxN3O2F3,H14C15N3OOxF3,H14C13Cx2N3O2F3,H14C12Cx3N3O2F3	-1,1
325	H19C14N3O4S,H19C13CxN3O4S,H19C14N3O4Sx,H19C14N3O3OxS,H19C12Cx2N3O4S,H19C11Cx3N3O4S	1
325	H21C12O10,H21C11CxO10,H21C12O9Ox,H21C10Cx2O10,H21C9Cx3O10	-1
325	H19C18N3OS,H19C17CxN3OS,H19C18N3OSx,H19C16Cx2N3OS,H19C15Cx3N3OS	-1
325	H24C12NO7P,H24C11CxNO7P,H24C12NO6OxP,H24C10Cx2NO7P,H24C9Cx3NO7P	-1,1
325	H23C12NO9,H23C11CxNO9,H23C12NO8Ox,H23C10Cx2NO9,H23C9Cx3NO9	-1,1
325	H19C13N5O5,H19C12CxN5O5,H19C13N5O4Ox,H19C11Cx2N5O5,H19C10Cx3N5O5	1
325	H19C18N3O3,H19C17CxN3O3,H19C18N3O2Ox,H19C16Cx2N3O3,H19C15Cx3N3O3	1
325	H23C15N3O3S,H23C14CxN3O3S,H23C15N3O3Sx,H23C15N3O2OxS,H23C13Cx2N3O3S,H23C12Cx3N3O3S	1
325	H23C16NO6,H23C15CxNO6,H23C16NO5Ox,H23C14Cx2NO6,H23C13Cx3NO6	-1,1
325	H19C17N5O2,H19C16CxN5O2,H19C17N5OOx,H19C15Cx2N5O2,H19C14Cx3N5O2	1
325	H23C20NO3,H23C19CxNO3,H23C20NO2Ox,H23C18Cx2NO3,H23C17Cx3NO3	1
325	H27C17NO3S,H27C16CxNO3S,H27C17NO3Sx,H27C17NO2OxS,H27C15Cx2NO3S,H27C14Cx3NO3S	1
325	H23C19N3O2,H23C18CxN3O2,H23C19N3OOx,H23C17Cx2N3O2,H23C16Cx3N3O2	-1
325	H27C17NO5,H27C16CxNO5,H27C17NO4Ox,H27C15Cx2NO5,H27C14Cx3NO5	-1,1
325	H23C18N5O,H23C17CxN5O,H23C16Cx2N5O,H23C15Cx3N5O	1
325	H23C17N7,H23C16CxN7,H23C15Cx2N7,H23C14Cx3N7	1
325	H27C21NO2,H27C20CxNO2,H27C21NOOx,H27C19Cx2NO2,H27C18Cx3NO2	1
325	H31C18NO2S,H31C17CxNO2S,H31C18NO2Sx,H31C18NOOxS,H31C16Cx2NO2S,H31C15Cx3NO2S	-1,1
325	H29C16N4O3,H29C15CxN4O3,H29C16N4O2Ox,H29C14Cx2N4O3,H29C13Cx3N4O3	1
325	H31C18NO4,H31C17CxNO4,H31C18NO3Ox,H31C16Cx2NO4,H31C15Cx3NO4	-1,1
325	H27C19N5,H27C18CxN5,H27C17Cx2N5,H27C16Cx3N5	1
325	H35C19NO3,H35C18CxNO3,H35C19NO2Ox,H35C17Cx2NO3,H35C16Cx3NO3	-1,1
325	H39C20NO2,H39C19CxNO2,H39C20NOOx,H39C18Cx2NO2,H39C17Cx3NO2	-1,1
325	H43C21NO,H43C20CxNO,H43C19Cx2NO,H43C18Cx3NO	1
325	H47C22N,H47C21CxN,H47C20Cx2N,H47C19Cx3N	1
326	H13C11N2O3Cl3,H13C10CxN2O3Cl3,H13C11N2O3Cl2Clx,H13C11N2O2OxCl3,H13C9Cx2N2O3Cl3	-1,1
326	H11C16N2OBr,H11C15CxN2OBr,H11C14Cx2N2OBr,H11C13Cx3N2OBr	-1
326	H14C13N2O4S2,H14C12CxN2O4S2,H14C13N2O4SSx,H14C13N2O3OxS2,H14C11Cx2N2O4S2,H14C10Cx3N2O4S2	-1,1
326	H11C16N4OFS,H11C15CxN4OFS,H11C16N4OFSx,H11C14Cx2N4OFS,H11C13Cx3N4OFS	-1
326	H14C14O9,H14C13CxO9,H14C14O8Ox,H14C12Cx2O9,H14C11Cx3O9	-1
326	H13C15N2OF3S,H13C14CxN2OF3S,H13C15N2OF3Sx,H13C13Cx2N2OF3S,H13C12Cx3N2OF3S	1
326	H15C18O4P,H15C17CxO4P,H15C18O3OxP,H15C16Cx2O4P,H15C15Cx3O4P	-1,1
326	H14C17N2O3S,H14C16CxN2O3S,H14C17N2O3Sx,H14C17N2O2OxS,H14C15Cx2N2O3S,H14C14Cx3N2O3S	-1
326	H14C18O6,H14C17CxO6,H14C18O5Ox,H14C16Cx2O6,H14C15Cx3O6	-1,1
326	H15C18N2O2Cl,H15C17CxN2O2Cl,H15C18N2O2Clx,H15C18N2OOxCl,H15C16Cx2N2O2Cl,H15C15Cx3N2O2Cl	-1
326	H27C12ClSn,H27C11CxClSn,H27C12ClxSn,H27C10Cx2ClSn,H27C9Cx3ClSn	-1,1
326	H14C16N4O2S,H14C15CxN4O2S,H14C16N4O2Sx,H14C16N4OOxS,H14C14Cx2N4O2S,H14C13Cx3N4O2S	-1,1
326	H13C15N2O3F3,H13C14CxN2O3F3,H13C15N2O2OxF3,H13C13Cx2N2O3F3,H13C12Cx3N2O3F3	-1,1
326	H18C15O8,H18C14CxO8,H18C15O7Ox,H18C13Cx2O8,H18C12Cx3O8	-1,1
326	H14C26,H14C25Cx,H14C24Cx2,H14C23Cx3	-1
326	H18C14N2O7,H18C13CxN2O7,H18C14N2O6Ox,H18C12Cx2N2O7,H18C11Cx3N2O7	-1,1
326	H14C15N6O3,H14C14CxN6O3,H14C15N6O2Ox,H14C13Cx2N6O3,H14C12Cx3N6O3	-1,1
326	H18C19O5,H18C18CxO5,H18C19O4Ox,H18C17Cx2O5,H18C16Cx3O5	-1,1
326	H19C19N2OCl,H19C18CxN2OCl,H19C19N2OClx,H19C17Cx2N2OCl,H19C16Cx3N2OCl	-1
326	H22C12O10,H22C11CxO10,H22C12O9Ox,H22C10Cx2O10,H22C9Cx3O10	-1
326	H18C13N4O6,H18C12CxN4O6,H18C13N4O5Ox,H18C11Cx2N4O6,H18C10Cx3N4O6	-1,1
326	H17C16N2O2F3,H17C15CxN2O2F3,H17C16N2OOxF3,H17C14Cx2N2O2F3,H17C13Cx3N2O2F3	-1,1
326	H18C18N2O4,H18C17CxN2O4,H18C18N2O3Ox,H18C16Cx2N2O4,H18C15Cx3N2O4	-1
326	H19C18N4Cl,H19C17CxN4Cl,H19C18N4Clx,H19C16Cx2N4Cl,H19C15Cx3N4Cl	-1,1
326	H19C20O3F,H19C19CxO3F,H19C20O2OxF,H19C18Cx2O3F,H19C17Cx3O3F	-1,1
326	H22C16O7,H22C15CxO7,H22C16O6Ox,H22C14Cx2O7,H22C13Cx3O7	-1,1
326	H18C17N4O3,H18C16CxN4O3,H18C17N4O2Ox,H18C15Cx2N4O3,H18C14Cx3N4O3	-1,1
326	H18C22N2O,H18C21CxN2O,H18C20Cx2N2O,H18C19Cx3N2O	1
326	H19C19N2O2F,H19C18CxN2O2F,H19C19N2OOxF,H19C17Cx2N2O2F,H19C16Cx3N2O2F	1
326	H22C19N2OS,H22C18CxN2OS,H22C19N2OSx,H22C17Cx2N2OS,H22C16Cx3N2OS	-1,1
326	H22C15N2O6,H22C14CxN2O6,H22C15N2O5Ox,H22C13Cx2N2O6,H22C12Cx3N2O6	-1,1
326	H18C16N6O2,H18C15CxN6O2,H18C16N6OOx,H18C14Cx2N6O2,H18C13Cx3N6O2	-1,1
326	H27C13O7P,H27C12CxO7P,H27C13O6OxP,H27C11Cx2O7P,H27C10Cx3O7P	-1,1
326	H22C20O4,H22C19CxO4,H22C20O3Ox,H22C18Cx2O4,H22C17Cx3O4	-1,1
326	H22C19N2O3,H22C18CxN2O3,H22C19N2O2Ox,H22C17Cx2N2O3,H22C16Cx3N2O3	-1,1
326	H26C16N2O3S,H26C15CxN2O3S,H26C16N2O3Sx,H26C16N2O2OxS,H26C14Cx2N2O3S,H26C13Cx3N2O3S	-1,1
326	H26C17O6,H26C16CxO6,H26C17O5Ox,H26C15Cx2O6,H26C14Cx3O6	-1,1
326	H22C18N4O2,H22C17CxN4O2,H22C18N4OOx,H22C16Cx2N4O2,H22C15Cx3N4O2	-1,1
326	H26C20N2S,H26C19CxN2S,H26C20N2Sx,H26C18Cx2N2S,H26C17Cx3N2S	-1,1
326	H26C16N2O5,H26C15CxN2O5,H26C16N2O4Ox,H26C14Cx2N2O5,H26C13Cx3N2O5	-1,1
326	H22C17N6O,H22C16CxN6O,H22C15Cx2N6O,H22C14Cx3N6O	-1,1
326	H26C21O3,H26C20CxO3,H26C21O2Ox,H26C19Cx2O3,H26C18Cx3O3	-1,1
326	H30C18O3S,H30C17CxO3S,H30C18O3Sx,H30C18O2OxS,H30C16Cx2O3S,H30C15Cx3O3S	-1,1
326	H30C14O8,H30C13CxO8,H30C14O7Ox,H30C12Cx2O8,H30C11Cx3O8	-1,1
326	H26C15N4O4,H26C14CxN4O4,H26C15N4O3Ox,H26C13Cx2N4O4,H26C12Cx3N4O4	1
326	H26C20N2O2,H26C19CxN2O2,H26C20N2OOx,H26C18Cx2N2O2,H26C17Cx3N2O2	-1,1
326	H30C18O5,H30C17CxO5,H30C18O4Ox,H30C16Cx2O5,H30C15Cx3O5	-1,1
326	H30C17N2O4,H30C16CxN2O4,H30C17N2O3Ox,H30C15Cx2N2O4,H30C14Cx3N2O4	-1,1
326	H30C22O2,H30C21CxO2,H30C22OOx,H30C20Cx2O2,H30C19Cx3O2	-1,1
326	H36C16N2Cl2,H36C15CxN2Cl2,H36C16N2ClClx,H36C14Cx2N2Cl2,H36C13Cx3N2Cl2	1
326	H34C19O4,H34C18CxO4,H34C19O3Ox,H34C17Cx2O4,H34C16Cx3O4	-1,1
326	H38C20O3,H38C19CxO3,H38C18Cx2O3,H38C17Cx3O3	-1,1
326	H42C21O2,H42C20CxO2,H42C21OOx,H42C19Cx2O2,H42C18Cx3O2	-1,1
326	H42C20N2O,H42C19CxN2O,H42C18Cx2N2O	1
327	H11C14NO4Cl2,H11C13CxNO4Cl2,H11C14NO4ClClx,H11C14NO3OxCl2,H11C12Cx2NO4Cl2	1
327	H14C18NO3Cl,H14C17CxNO3Cl,H14C18NO3Clx,H14C18NO2OxCl,H14C16Cx2NO3Cl,H14C15Cx3NO3Cl	1
327	H21C11NO6S2,H21C10CxNO6S2,H21C11NO6SSx,H21C11NO5OxS2,H21C9Cx2NO6S2,H21C8Cx3NO6S2	-1
327	H18C10N3O7Cl,H18C9CxN3O7Cl,H18C10N3O7Clx,H18C10N3O6OxCl,H18C8Cx2N3O7Cl,H18C7Cx3N3O7Cl	-1,1
327	H16C15N3OF2Cl,H16C14CxN3OF2Cl,H16C15N3OF2Clx,H16C13Cx2N3OF2Cl,H16C12Cx3N3OF2Cl	-1,1
327	H17C14NO8,H17C13CxNO8,H17C14NO7Ox,H17C12Cx2NO8,H17C11Cx3NO8	-1,1
327	H18C19NO2Cl,H18C18CxNO2Cl,H18C19NO2Clx,H18C19NOOxCl,H18C17Cx2NO2Cl,H18C16Cx3NO2Cl	-1
327	H17C17N3O2S,H17C16CxN3O2S,H17C17N3O2Sx,H17C17N3OOxS,H17C15Cx2N3O2S,H17C14Cx3N3O2S	-1,1
327	H15C19NO2F2,H15C18CxNO2F2,H15C19NOOxF2,H15C17Cx2NO2F2,H15C16Cx3NO2F2	-1,1
327	H17C18NO5,H17C17CxNO5,H17C18NO4Ox,H17C16Cx2NO5,H17C15Cx3NO5	-1,1
327	H14C16N5O2F,H14C15CxN5O2F,H14C16N5OOxF,H14C14Cx2N5O2F,H14C13Cx3N5O2F	1
327	H18C18N3OCl,H18C17CxN3OCl,H18C18N3OClx,H18C16Cx2N3OCl,H18C15Cx3N3OCl	-1,1
327	H21C15NO5S,H21C14CxNO5S,H21C15NO5Sx,H21C15NO4OxS,H21C13Cx2NO5S,H21C12Cx3NO5S	-1
327	H21C11NO10,H21C10CxNO10,H21C11NO9Ox,H21C9Cx2NO10,H21C8Cx3NO10	-1,1
327	H21C13N5O3S,H21C12CxN5O3S,H21C13N5O3Sx,H21C13N5O2OxS,H21C11Cx2N5O3S,H21C10Cx3N5O3S	-1,1
327	H17C21N3O,H17C20CxN3O,H17C19Cx2N3O,H17C18Cx3N3O	1
327	H21C18N3OS,H21C17CxN3OS,H21C18N3OSx,H21C16Cx2N3OS,H21C15Cx3N3OS	-1,1
327	H21C19NO4,H21C18CxNO4,H21C19NO3Ox,H21C17Cx2NO4,H21C16Cx3NO4	1
327	H21C17N5S,H21C16CxN5S,H21C17N5Sx,H21C15Cx2N5S,H21C14Cx3N5S	1
327	H21C13N5O5,H21C12CxN5O5,H21C13N5O4Ox,H21C11Cx2N5O5,H21C10Cx3N5O5	1
327	H21C18N3O3,H21C17CxN3O3,H21C18N3O2Ox,H21C16Cx2N3O3,H21C15Cx3N3O3	-1,1
327	H26C17NO3Cl,H26C16CxNO3Cl,H26C17NO3Clx,H26C17NO2OxCl,H26C15Cx2NO3Cl,H26C14Cx3NO3Cl	1
327	H25C20NOS,H25C19CxNOS,H25C20NOSx,H25C18Cx2NOS,H25C17Cx3NOS	-1,1
327	H21C17N5O2,H21C16CxN5O2,H21C17N5OOx,H21C15Cx2N5O2,H21C14Cx3N5O2	1
327	H25C19N3S,H25C18CxN3S,H25C19N3Sx,H25C17Cx2N3S,H25C16Cx3N3S	-1,1
327	H25C20NO3,H25C19CxNO3,H25C20NO2Ox,H25C18Cx2NO3,H25C17Cx3NO3	-1,1
327	H29C17NO3S,H29C16CxNO3S,H29C17NO3Sx,H29C17NO2OxS,H29C15Cx2NO3S,H29C14Cx3NO3S	1
327	H25C19N3O2,H25C18CxN3O2,H25C19N3OOx,H25C17Cx2N3O2,H25C16Cx3N3O2	-1,1
327	H27C15N4O4,H27C14CxN4O4,H27C15N4O3Ox,H27C13Cx2N4O4,H27C12Cx3N4O4	1
327	H29C17NO5,H29C16CxNO5,H29C17NO4Ox,H29C15Cx2NO5,H29C14Cx3NO5	-1,1
327	H29C16N3O4,H29C15CxN3O4,H29C16N3O3Ox,H29C14Cx2N3O4,H29C13Cx3N3O4	-1,1
327	H33C18NO4,H33C17CxNO4,H33C18NO3Ox,H33C16Cx2NO4,H33C15Cx3NO4	-1,1
327	H29C19N5,H29C18CxN5,H29C17Cx2N5,H29C16Cx3N5	1
327	H37C19NO3,H37C18CxNO3,H37C19NO2Ox,H37C17Cx2NO3,H37C16Cx3NO3	-1,1
327	H41C20NO2,H41C19CxNO2,H41C20NOOx,H41C18Cx2NO2,H41C17Cx3NO2	-1,1
328	HC3O9Na3K2,HC2CxO9Na3K2,HC3O9Na3KKx,HC3O8OxNa3K2,HCCx2O9Na3K2	-1,1
328	H8C16S4,H8C15CxS4,H8C16S3Sx,H8C14Cx2S4,H8C13Cx3S4	-1
328	H12C6O9Na3P,H12C5CxO9Na3P,H12C6O8OxNa3P,H12C4Cx2O9Na3P,H12C3Cx3O9Na3P	-1,1
328	H12C16N2O4S,H12C15CxN2O4S,H12C16N2O4Sx,H12C16N2O3OxS,H12C14Cx2N2O4S,H12C13Cx3N2O4S	-1
328	H14C18N2Cl2,H14C17CxN2Cl2,H14C18N2ClClx,H14C16Cx2N2Cl2,H14C15Cx3N2Cl2	-1
328	H12C17O7,H12C16CxO7,H12C17O6Ox,H12C15Cx2O7,H12C14Cx3O7	-1
328	H17C14N2O3SCl,H17C13CxN2O3SCl,H17C14N2O3SxCl,H17C14N2O3SClx,H17C14N2O2OxSCl,H17C12Cx2N2O3SCl,H17C11Cx3N2O3SCl	-1
328	H20C10N2O6S2,H20C9CxN2O6S2,H20C10N2O6SSx,H20C10N2O5OxS2,H20C8Cx2N2O6S2,H20C7Cx3N2O6S2	-1,1
328	H12C10N6O7,H12C9CxN6O7,H12C10N6O6Ox,H12C8Cx2N6O7,H12C7Cx3N6O7	1
328	H16C18O4S,H16C17CxO4S,H16C18O4Sx,H16C18O3OxS,H16C16Cx2O4S,H16C15Cx3O4S	1
328	H13C16N4OFS,H13C15CxN4OFS,H13C16N4OFSx,H13C14Cx2N4OFS,H13C13Cx3N4OFS	-1,1
328	H16C14O9,H16C13CxO9,H16C14O8Ox,H16C12Cx2O9,H16C11Cx3O9	-1,1
328	H17C18N2SCl,H17C17CxN2SCl,H17C18N2SxCl,H17C18N2SClx,H17C16Cx2N2SCl,H17C15Cx3N2SCl	-1,1
328	H22C11O7P2,H22C10CxO7P2,H22C11O6OxP2,H22C9Cx2O7P2,H22C8Cx3O7P2	1
328	H21C11O9P,H21C10CxO9P,H21C11O8OxP,H21C9Cx2O9P,H21C8Cx3O9P	-1,1
328	H16C18O6,H16C17CxO6,H16C18O5Ox,H16C16Cx2O6,H16C15Cx3O6	-1,1
328	H17C18N2O2Cl,H17C17CxN2O2Cl,H17C18N2O2Clx,H17C18N2OOxCl,H17C16Cx2N2O2Cl,H17C15Cx3N2O2Cl	-1,1
328	H20C15O6S,H20C14CxO6S,H20C15O6Sx,H20C15O5OxS,H20C13Cx2O6S,H20C12Cx3O6S	-1
328	H16C16N4O2S,H16C15CxN4O2S,H16C16N4O2Sx,H16C16N4OOxS,H16C14Cx2N4O2S,H16C13Cx3N4O2S	-1
328	H21C15N2O2SCl,H21C14CxN2O2SCl,H21C15N2O2SxCl,H21C15N2O2SClx,H21C15N2OOxSCl,H21C13Cx2N2O2SCl,H21C12Cx3N2O2SCl	-1
328	H16C12N4O7,H16C11CxN4O7,H16C12N4O6Ox,H16C10Cx2N4O7,H16C9Cx3N4O7	-1,1
328	H16C21N2S,H16C20CxN2S,H16C21N2Sx,H16C19Cx2N2S,H16C18Cx3N2S	-1
328	H15C15N2O3F3,H15C14CxN2O3F3,H15C15N2O2OxF3,H15C13Cx2N2O3F3,H15C12Cx3N2O3F3	-1,1
328	H28C12O2P4,H28C11CxO2P4,H28C12OOxP4,H28C10Cx2O2P4,H28C9Cx3O2P4	-1,1
328	H16C17N2O5,H16C16CxN2O5,H16C17N2O4Ox,H16C15Cx2N2O5,H16C14Cx3N2O5	-1,1
328	H20C15O8,H20C14CxO8,H20C15O7Ox,H20C13Cx2O8,H20C12Cx3O8	-1,1
328	H17C16N6Cl,H17C15CxN6Cl,H17C16N6Clx,H17C14Cx2N6Cl,H17C13Cx3N6Cl	-1,1
328	H16C21N2O2,H16C20CxN2O2,H16C21N2OOx,H16C19Cx2N2O2,H16C18Cx3N2O2	-1,1
328	H20C18N2O2S,H20C17CxN2O2S,H20C18N2O2Sx,H20C18N2OOxS,H20C16Cx2N2O2S,H20C15Cx3N2O2S	1
328	H16C26,H16C25Cx,H16C24Cx2,H16C23Cx3	-1,1
328	H20C19O5,H20C18CxO5,H20C19O4Ox,H20C17Cx2O5,H20C16Cx3O5	-1,1
328	H21C19N2OCl,H21C18CxN2OCl,H21C19N2OClx,H21C17Cx2N2OCl,H21C16Cx3N2OCl	-1,1
328	H20C17N4OS,H20C16CxN4OS,H20C17N4OSx,H20C15Cx2N4OS,H20C14Cx3N4OS	-1,1
328	H24C12O10,H24C11CxO10,H24C12O9Ox,H24C10Cx2O10,H24C9Cx3O10	-1,1
328	H20C18N2O4,H20C17CxN2O4,H20C18N2O3Ox,H20C16Cx2N2O4,H20C15Cx3N2O4	-1,1
328	H24C15N2O4S,H24C14CxN2O4S,H24C15N2O4Sx,H24C15N2O3OxS,H24C13Cx2N2O4S,H24C12Cx3N2O4S	1
328	H24C16O7,H24C15CxO7,H24C16O6Ox,H24C14Cx2O7,H24C13Cx3O7	-1,1
328	H20C22N2O,H20C21CxN2O,H20C20Cx2N2O,H20C19Cx3N2O	1
328	H24C19N2OS,H24C18CxN2OS,H24C19N2OSx,H24C17Cx2N2OS,H24C16Cx3N2OS	-1
328	H24C20O4,H24C19CxO4,H24C20O3Ox,H24C18Cx2O4,H24C17Cx3O4	-1,1
328	H20C21N4,H20C20CxN4,H20C19Cx2N4,H20C18Cx3N4	1
328	H21C18N4OF,H21C17CxN4OF,H21C16Cx2N4OF,H21C15Cx3N4OF	-1,1
328	H28C17O4S,H28C16CxO4S,H28C17O4Sx,H28C17O3OxS,H28C15Cx2O4S,H28C14Cx3O4S	-1,1
328	H24C14N4O5,H24C13CxN4O5,H24C14N4O4Ox,H24C12Cx2N4O5,H24C11Cx3N4O5	-1,1
328	H24C19N2O3,H24C18CxN2O3,H24C19N2O2Ox,H24C17Cx2N2O3,H24C16Cx3N2O3	1
328	H24C24O,H24C23CxO,H24C22Cx2O,H24C21Cx3O	1
328	H24C18N4O2,H24C17CxN4O2,H24C18N4OOx,H24C16Cx2N4O2,H24C15Cx3N4O2	-1,1
328	H28C16N2O5,H28C15CxN2O5,H28C16N2O4Ox,H28C14Cx2N2O5,H28C13Cx3N2O5	-1,1
328	H36C3O16,H36C2CxO16,H36C3O15Ox,H36CCx2O16	-1,1
328	H28C21O3,H28C20CxO3,H28C21O2Ox,H28C19Cx2O3,H28C18Cx3O3	-1,1
328	H28C20N2O2,H28C19CxN2O2,H28C20N2OOx,H28C18Cx2N2O2,H28C17Cx3N2O2	1
328	H32C18O5,H32C17CxO5,H32C18O4Ox,H32C16Cx2O5,H32C15Cx3O5	-1,1
328	H32C22O2,H32C21CxO2,H32C22OOx,H32C20Cx2O2,H32C19Cx3O2	-1,1
328	H36C19O4,H36C18CxO4,H36C19O3Ox,H36C17Cx2O4,H36C16Cx3O4	-1,1
328	H40C20O3,H40C19CxO3,H40C20O2Ox,H40C18Cx2O3,H40C17Cx3O3	-1
329	H10C14NO5F3,H10C13CxNO5F3,H10C14NO4OxF3,H10C12Cx2NO5F3,H10C11Cx3NO5F3	-1
329	H20C10NO5PS2,H20C9CxNO5PS2,H20C10NO5PSSx,H20C10NO4OxPS2,H20C8Cx2NO5PS2,H20C7Cx3NO5PS2	-1,1
329	H12C10N5O6P,H12C9CxN5O6P,H12C10N5O5OxP,H12C8Cx2N5O6P,H12C7Cx3N5O6P	-1,1
329	H11C13N5F3Cl,H11C12CxN5F3Cl,H11C13N5F3Clx,H11C11Cx2N5F3Cl,H11C10Cx3N5F3Cl	-1,1
329	H15C16N3OS2,H15C15CxN3OS2,H15C16N3OSSx,H15C14Cx2N3OS2,H15C13Cx3N3OS2	-1,1
329	H15C16N3O3S,H15C15CxN3O3S,H15C16N3O3Sx,H15C16N3O2OxS,H15C14Cx2N3O3S,H15C13Cx3N3O3S	-1,1
329	H19C14NO6S,H19C13CxNO6S,H19C14NO6Sx,H19C14NO5OxS,H19C12Cx2NO6S,H19C11Cx3NO6S	-1
329	H16C17N3OFS,H16C16CxN3OFS,H16C15Cx2N3OFS,H16C14Cx3N3OFS	-1
329	H16C13N3O6F,H16C12CxN3O6F,H16C13N3O5OxF,H16C11Cx2N3O6F,H16C10Cx3N3O6F	1
329	H16C16N5OCl,H16C15CxN5OCl,H16C16N5OClx,H16C14Cx2N5OCl,H16C13Cx3N5OCl	-1
329	H16C16N5FS,H16C15CxN5FS,H16C16N5FSx,H16C14Cx2N5FS,H16C13Cx3N5FS	-1,1
329	H19C14NO8,H19C13CxNO8,H19C14NO7Ox,H19C12Cx2NO8,H19C11Cx3NO8	-1,1
329	H19C18NO5,H19C17CxNO5,H19C18NO4Ox,H19C16Cx2NO5,H19C15Cx3NO5	-1,1
329	H15C19N5O,H15C18CxN5O,H15C17Cx2N5O,H15C16Cx3N5O	-1
329	H20C18N3OCl,H20C17CxN3OCl,H20C18N3OClx,H20C16Cx2N3OCl,H20C15Cx3N3OCl	-1,1
329	H23C15NO5S,H23C14CxNO5S,H23C15NO5Sx,H23C15NO4OxS,H23C13Cx2NO5S,H23C12Cx3NO5S	-1,1
329	H18C15N3O2F3,H18C14CxN3O2F3,H18C15N3OOxF3,H18C13Cx2N3O2F3,H18C12Cx3N3O2F3	-1,1
329	H19C17N3O4,H19C16CxN3O4,H19C17N3O3Ox,H19C15Cx2N3O4,H19C14Cx3N3O4	-1,1
329	H23C14N3O4S,H23C13CxN3O4S,H23C14N3O4Sx,H23C14N3O3OxS,H23C12Cx2N3O4S,H23C11Cx3N3O4S	-1,1
329	H19C22NO2,H19C21CxNO2,H19C22NOOx,H19C20Cx2NO2,H19C19Cx3NO2	1
329	H23C19NO2S,H23C18CxNO2S,H23C19NO2Sx,H23C19NOOxS,H23C17Cx2NO2S,H23C16Cx3NO2S	1
329	H19C16N5O3,H19C15CxN5O3,H19C16N5O2Ox,H19C14Cx2N5O3,H19C13Cx3N5O3	1
329	H19C21N3O,H19C20CxN3O,H19C19Cx2N3O,H19C18Cx3N3O	-1,1
329	H24C20NOCl,H24C19CxNOCl,H24C20NOClx,H24C18Cx2NOCl,H24C17Cx3NOCl	-1,1
