FileName	Experiment	Fraction	PTMS	ParamGroupIndices
C1362FD.raw	MB01	1	FALSE	0
C1363FD.raw	MB01	2	FALSE	0
C1364FD.raw	MB01	3	FALSE	0
C1365FD.raw	MB01	4	FALSE	0
C1366FD.raw	MB01	5	FALSE	0
C1367FD.raw	MB01	6	FALSE	0
C1368FD.raw	MB01	7	FALSE	0
C1369FD.raw	MB01	8	FALSE	0
C1370FD.raw	MB01	9	FALSE	0
C1371FD.raw	MB01	10	FALSE	0
C1372FD.raw	MB01	11	FALSE	0
C1373FD.raw	MB01	12	FALSE	0
C1398FD.raw	MB02	1	FALSE	0
C1399FD.raw	MB02	2	FALSE	0
C1400FD.raw	MB02	3	FALSE	0
C1401FD.raw	MB02	4	FALSE	0
C1402FD.raw	MB02	5	FALSE	0
C1403FD.raw	MB02	6	FALSE	0
C1404FD.raw	MB02	7	FALSE	0
C1405FD.raw	MB02	8	FALSE	0
C1406FD.raw	MB02	9	FALSE	0
C1407FD.raw	MB02	10	FALSE	0
C1408FD.raw	MB02	11	FALSE	0
C1409FD.raw	MB02	12	FALSE	0
C1422FD.raw	MB03	1	FALSE	0
C1423FD.raw	MB03	2	FALSE	0
C1424FD.raw	MB03	3	FALSE	0
C1425FD.raw	MB03	4	FALSE	0
C1426FD.raw	MB03	5	FALSE	0
C1427FD.raw	MB03	6	FALSE	0
C1428FD.raw	MB03	7	FALSE	0
C1429FD.raw	MB03	8	FALSE	0
C1430FD.raw	MB03	9	FALSE	0
C1431FD.raw	MB03	10	FALSE	0
C1432FD.raw	MB03	11	FALSE	0
C1433FD.raw	MB03	12	FALSE	0
C1386FD.raw	MB04	1	FALSE	0
C1387FD.raw	MB04	2	FALSE	0
C1388FD.raw	MB04	3	FALSE	0
C1389FD.raw	MB04	4	FALSE	0
C1390FD.raw	MB04	5	FALSE	0
C1391FD.raw	MB04	6	FALSE	0
C1392FD.raw	MB04	7	FALSE	0
C1393FD.raw	MB04	8	FALSE	0
C1394FD.raw	MB04	9	FALSE	0
C1395FD.raw	MB04	10	FALSE	0
C1396FD.raw	MB04	11	FALSE	0
C1397FD.raw	MB04	12	FALSE	0
C1374FD.raw	MB05	1	FALSE	0
C1375FD.raw	MB05	2	FALSE	0
C1376FD.raw	MB05	3	FALSE	0
C1377FD.raw	MB05	4	FALSE	0
C1378FD.raw	MB05	5	FALSE	0
C1379FD.raw	MB05	6	FALSE	0
C1380FD.raw	MB05	7	FALSE	0
C1381FD.raw	MB05	8	FALSE	0
C1382FD.raw	MB05	9	FALSE	0
C1383FD.raw	MB05	10	FALSE	0
C1384FD.raw	MB05	11	FALSE	0
C1385FD.raw	MB05	12	FALSE	0
C1469FD.raw	MB06	1	FALSE	0
C1470FD.raw	MB06	2	FALSE	0
C1471FD.raw	MB06	3	FALSE	0
C1472FD.raw	MB06	4	FALSE	0
C1473FD.raw	MB06	5	FALSE	0
C1474FD.raw	MB06	6	FALSE	0
C1475FD.raw	MB06	7	FALSE	0
C1476FD.raw	MB06	8	FALSE	0
C1477FD.raw	MB06	9	FALSE	0
C1478FD.raw	MB06	10	FALSE	0
C1479FD.raw	MB06	11	FALSE	0
C1480FD.raw	MB06	12	FALSE	0
C2198FD.raw	MB07	1	FALSE	0
C2199FD.raw	MB07	2	FALSE	0
C2200FD.raw	MB07	3	FALSE	0
C2201FD.raw	MB07	4	FALSE	0
C2202FD.raw	MB07	5	FALSE	0
C2203FD.raw	MB07	6	FALSE	0
C2204FD.raw	MB07	7	FALSE	0
C2205FD.raw	MB07	8	FALSE	0
C2206FD.raw	MB07	9	FALSE	0
C2207FD.raw	MB07	10	FALSE	0
C2208FD.raw	MB07	11	FALSE	0
C2209FD.raw	MB07	12	FALSE	0
C1745FD.raw	MB08	1	FALSE	0
C1746FD.raw	MB08	2	FALSE	0
C1747FD.raw	MB08	3	FALSE	0
C1748FD.raw	MB08	4	FALSE	0
C1749FD.raw	MB08	5	FALSE	0
C1750FD.raw	MB08	6	FALSE	0
C1751FD.raw	MB08	7	FALSE	0
C1752FD.raw	MB08	8	FALSE	0
C1753FD.raw	MB08	9	FALSE	0
C1754FD.raw	MB08	10	FALSE	0
C1755FD.raw	MB08	11	FALSE	0
C1756FD.raw	MB08	12	FALSE	0
C2079FD.raw	MB09	1	FALSE	0
C2080FD.raw	MB09	2	FALSE	0
C2081FD.raw	MB09	3	FALSE	0
C2082FD.raw	MB09	4	FALSE	0
C2083FD.raw	MB09	5	FALSE	0
C2084FD.raw	MB09	6	FALSE	0
C2085FD.raw	MB09	7	FALSE	0
C2086FD.raw	MB09	8	FALSE	0
C2087FD.raw	MB09	9	FALSE	0
C2088FD.raw	MB09	10	FALSE	0
C2089FD.raw	MB09	11	FALSE	0
C2090FD.raw	MB09	12	FALSE	0
C1914FD.raw	MB10	1	FALSE	0
C1915FD.raw	MB10	2	FALSE	0
C1916FD.raw	MB10	3	FALSE	0
C1917FD.raw	MB10	4	FALSE	0
C1918FD.raw	MB10	5	FALSE	0
C1919FD.raw	MB10	6	FALSE	0
C1920FD.raw	MB10	7	FALSE	0
C1921FD.raw	MB10	8	FALSE	0
C1922FD.raw	MB10	9	FALSE	0
C1923FD.raw	MB10	10	FALSE	0
C1924FD.raw	MB10	11	FALSE	0
C1925FD.raw	MB10	12	FALSE	0
C2145FD.raw	MB13	1	FALSE	0
C2146FD.raw	MB13	2	FALSE	0
C2147FD.raw	MB13	3	FALSE	0
C2148FD.raw	MB13	4	FALSE	0
C2149FD.raw	MB13	5	FALSE	0
C2150FD.raw	MB13	6	FALSE	0
C2151FD.raw	MB13	7	FALSE	0
C2152FD.raw	MB13	8	FALSE	0
C2153FD.raw	MB13	9	FALSE	0
C2154FD.raw	MB13	10	FALSE	0
C2155FD.raw	MB13	11	FALSE	0
C2156FD.raw	MB13	12	FALSE	0
C1855FD.raw	MB14	1	FALSE	0
C1856FD.raw	MB14	2	FALSE	0
C1857FD.raw	MB14	3	FALSE	0
C1858FD.raw	MB14	4	FALSE	0
C1859FD.raw	MB14	5	FALSE	0
C1860FD.raw	MB14	6	FALSE	0
C1861FD.raw	MB14	7	FALSE	0
C1862FD.raw	MB14	8	FALSE	0
C1863FD.raw	MB14	9	FALSE	0
C1864FD.raw	MB14	10	FALSE	0
C1865FD.raw	MB14	11	FALSE	0
C1866FD.raw	MB14	12	FALSE	0
C2246FD.raw	MB15	1	FALSE	0
C2247FD.raw	MB15	2	FALSE	0
C2248FD.raw	MB15	3	FALSE	0
C2249FD.raw	MB15	4	FALSE	0
C2250FD.raw	MB15	5	FALSE	0
C2251FD.raw	MB15	6	FALSE	0
C2252FD.raw	MB15	7	FALSE	0
C2253FD.raw	MB15	8	FALSE	0
C2254FD.raw	MB15	9	FALSE	0
C2255FD.raw	MB15	10	FALSE	0
C2256FD.raw	MB15	11	FALSE	0
C2257FD.raw	MB15	12	FALSE	0
C1732FD.raw	MB16	1	FALSE	0
C1733FD.raw	MB16	2	FALSE	0
C1734FD.raw	MB16	3	FALSE	0
C1735FD.raw	MB16	4	FALSE	0
C1736FD.raw	MB16	5	FALSE	0
C1737FD.raw	MB16	6	FALSE	0
C1738FD.raw	MB16	7	FALSE	0
C1739FD.raw	MB16	8	FALSE	0
C1740FD.raw	MB16	9	FALSE	0
C1741FD.raw	MB16	10	FALSE	0
C1742FD.raw	MB16	11	FALSE	0
C1743FD.raw	MB16	12	FALSE	0
C1929FD.raw	MB17	1	FALSE	0
C1930FD.raw	MB17	2	FALSE	0
C1931FD.raw	MB17	3	FALSE	0
C1932FD.raw	MB17	4	FALSE	0
C1933FD.raw	MB17	5	FALSE	0
C1934FD.raw	MB17	6	FALSE	0
C1935FD.raw	MB17	7	FALSE	0
C1936FD.raw	MB17	8	FALSE	0
C1937FD.raw	MB17	9	FALSE	0
C1938FD.raw	MB17	10	FALSE	0
C1939FD.raw	MB17	11	FALSE	0
C1940FD.raw	MB17	12	FALSE	0
C2003FD.raw	MB19	1	FALSE	0
C2004FD.raw	MB19	2	FALSE	0
C2005FD.raw	MB19	3	FALSE	0
C2006FD.raw	MB19	4	FALSE	0
C2007FD.raw	MB19	5	FALSE	0
C2008FD.raw	MB19	6	FALSE	0
C2009FD.raw	MB19	7	FALSE	0
C2010FD.raw	MB19	8	FALSE	0
C2011FD.raw	MB19	9	FALSE	0
C2012FD.raw	MB19	10	FALSE	0
C2013FD.raw	MB19	11	FALSE	0
C2014FD.raw	MB19	12	FALSE	0
C2258FD.raw	MB20	1	FALSE	0
C2259FD.raw	MB20	2	FALSE	0
C2260FD.raw	MB20	3	FALSE	0
C2261FD.raw	MB20	4	FALSE	0
C2262FD.raw	MB20	5	FALSE	0
C2263FD.raw	MB20	6	FALSE	0
C2264FD.raw	MB20	7	FALSE	0
C2265FD.raw	MB20	8	FALSE	0
C2266FD-2.raw	MB20	9	FALSE	0
C2267FD.raw	MB20	10	FALSE	0
C2268FD.raw	MB20	11	FALSE	0
C2269FD.raw	MB20	12	FALSE	0
C2055FD.raw	MB21	1	FALSE	0
C2056FD.raw	MB21	2	FALSE	0
C2057FD.raw	MB21	3	FALSE	0
C2058FD.raw	MB21	4	FALSE	0
C2059FD.raw	MB21	5	FALSE	0
C2060FD.raw	MB21	6	FALSE	0
C2061FD.raw	MB21	7	FALSE	0
C2062FD.raw	MB21	8	FALSE	0
C2063FD.raw	MB21	9	FALSE	0
C2064FD.raw	MB21	10	FALSE	0
C2065FD.raw	MB21	11	FALSE	0
C2066FD.raw	MB21	12	FALSE	0
C1979FD.raw	MB22	1	FALSE	0
C1980FD.raw	MB22	2	FALSE	0
C1981FD.raw	MB22	3	FALSE	0
C1982FD.raw	MB22	4	FALSE	0
C1983FD.raw	MB22	5	FALSE	0
C1984FD.raw	MB22	6	FALSE	0
C1985FD.raw	MB22	7	FALSE	0
C1986FD.raw	MB22	8	FALSE	0
C1987FD.raw	MB22	9	FALSE	0
C1988FD.raw	MB22	10	FALSE	0
C1989FD.raw	MB22	11	FALSE	0
C1990FD.raw	MB22	12	FALSE	0
C1843FD.raw	MB24	1	FALSE	0
C1844FD.raw	MB24	2	FALSE	0
C1845FD.raw	MB24	3	FALSE	0
C1846FD.raw	MB24	4	FALSE	0
C1847FD.raw	MB24	5	FALSE	0
C1848FD.raw	MB24	6	FALSE	0
C1849FD.raw	MB24	7	FALSE	0
C1850FD.raw	MB24	8	FALSE	0
C1851FD.raw	MB24	9	FALSE	0
C1852FD.raw	MB24	10	FALSE	0
C1853FD.raw	MB24	11	FALSE	0
C1854FD.raw	MB24	12	FALSE	0
C1955FD.raw	MB25	1	FALSE	0
C1956FD.raw	MB25	2	FALSE	0
C1957FD.raw	MB25	3	FALSE	0
C1958FD.raw	MB25	4	FALSE	0
C1959FD.raw	MB25	5	FALSE	0
C1960FD.raw	MB25	6	FALSE	0
C1961FD.raw	MB25	7	FALSE	0
C1962FD.raw	MB25	8	FALSE	0
C1963FD.raw	MB25	9	FALSE	0
C1964FD.raw	MB25	10	FALSE	0
C1965FD.raw	MB25	11	FALSE	0
C1966FD.raw	MB25	12	FALSE	0
C2362FD.raw	MB30	1	FALSE	0
C2363FD.raw	MB30	2	FALSE	0
C2364FD.raw	MB30	3	FALSE	0
C2365FD.raw	MB30	4	FALSE	0
C2366FD.raw	MB30	5	FALSE	0
C2367FD.raw	MB30	6	FALSE	0
C2368FD.raw	MB30	7	FALSE	0
C2369FD.raw	MB30	8	FALSE	0
C2370FD.raw	MB30	9	FALSE	0
C2371FD.raw	MB30	10	FALSE	0
C2372FD.raw	MB30	11	FALSE	0
C2373FD.raw	MB30	12	FALSE	0
C2374FD.raw	MB31	1	FALSE	0
C2375FD.raw	MB31	2	FALSE	0
C2376FD.raw	MB31	3	FALSE	0
C2377FD.raw	MB31	4	FALSE	0
C2378FD.raw	MB31	5	FALSE	0
C2379FD.raw	MB31	6	FALSE	0
C2380FD.raw	MB31	7	FALSE	0
C2381FD.raw	MB31	8	FALSE	0
C2382FD.raw	MB31	9	FALSE	0
C2383FD.raw	MB31	10	FALSE	0
C2384FD.raw	MB31	11	FALSE	0
C2385FD.raw	MB31	12	FALSE	0
C2434FD.raw	MB33	1	FALSE	0
C2435FD.raw	MB33	2	FALSE	0
C2436FD.raw	MB33	3	FALSE	0
C2437FD.raw	MB33	4	FALSE	0
C2438FD.raw	MB33	5	FALSE	0
C2439FD.raw	MB33	6	FALSE	0
C2440FD.raw	MB33	7	FALSE	0
C2441FD.raw	MB33	8	FALSE	0
C2442FD.raw	MB33	9	FALSE	0
C2443FD.raw	MB33	10	FALSE	0
C2444FD.raw	MB33	11	FALSE	0
C2445FD.raw	MB33	12	FALSE	0
C2446FD.raw	MB34	1	FALSE	0
C2447FD.raw	MB34	2	FALSE	0
C2448FD.raw	MB34	3	FALSE	0
C2449FD.raw	MB34	4	FALSE	0
C2450FD.raw	MB34	5	FALSE	0
C2451FD.raw	MB34	6	FALSE	0
C2452FD.raw	MB34	7	FALSE	0
C2453FD.raw	MB34	8	FALSE	0
C2454FD.raw	MB34	9	FALSE	0
C2455FD.raw	MB34	10	FALSE	0
C2456FD.raw	MB34	11	FALSE	0
C2457FD.raw	MB34	12	FALSE	0
C2610DL.raw	MB39	1	FALSE	0
C2611DL.raw	MB39	2	FALSE	0
C2612DL.raw	MB39	3	FALSE	0
C2613DL.raw	MB39	4	FALSE	0
C2614DL.raw	MB39	5	FALSE	0
C2615DL.raw	MB39	6	FALSE	0
C2616DL.raw	MB39	7	FALSE	0
C2617DL.raw	MB39	8	FALSE	0
C2618DL.raw	MB39	9	FALSE	0
C2619DL.raw	MB39	10	FALSE	0
C2620DL.raw	MB39	11	FALSE	0
C2621DL.raw	MB39	12	FALSE	0
C2669FD.raw	MB40	1	FALSE	0
C2670FD.raw	MB40	2	FALSE	0
C2671FD.raw	MB40	3	FALSE	0
C2672FD.raw	MB40	4	FALSE	0
C2673FD.raw	MB40	5	FALSE	0
C2674FD.raw	MB40	6	FALSE	0
C2675FD.raw	MB40	7	FALSE	0
C2676FD.raw	MB40	8	FALSE	0
C2677FD.raw	MB40	9	FALSE	0
C2678FD.raw	MB40	10	FALSE	0
C2679FD.raw	MB40	11	FALSE	0
C2680FD.raw	MB40	12	FALSE	0
C2781FD.raw	MB43	1	FALSE	0
C2782FD.raw	MB43	2	FALSE	0
C2783FD.raw	MB43	3	FALSE	0
C2784FD.raw	MB43	4	FALSE	0
C2785FD.raw	MB43	5	FALSE	0
C2786FD.raw	MB43	6	FALSE	0
C2787FD.raw	MB43	7	FALSE	0
C2788FD.raw	MB43	8	FALSE	0
C2789FD.raw	MB43	9	FALSE	0
C2790FD.raw	MB43	10	FALSE	0
C2791FD.raw	MB43	11	FALSE	0
C2792FD.raw	MB43	12	FALSE	0
C4039FD.raw	MT1179	1	FALSE	0
C4040FD.raw	MT1179	2	FALSE	0
C4041FD.raw	MT1179	3	FALSE	0
C4042FD.raw	MT1179	4	FALSE	0
C4043FD.raw	MT1179	5	FALSE	0
C4044FD.raw	MT1179	6	FALSE	0
C4045FD.raw	MT1179	7	FALSE	0
C4046FD.raw	MT1179	8	FALSE	0
C4047FD.raw	MT1179	9	FALSE	0
C4048FD.raw	MT1179	10	FALSE	0
C3893FD.raw	MT1219	1	FALSE	0
C3894FD.raw	MT1219	2	FALSE	0
C3895FD.raw	MT1219	3	FALSE	0
C3896FD.raw	MT1219	4	FALSE	0
C3897FD.raw	MT1219	5	FALSE	0
C3898FD.raw	MT1219	6	FALSE	0
C3899FD.raw	MT1219	7	FALSE	0
C3900FD.raw	MT1219	8	FALSE	0
C3901FD.raw	MT1219	9	FALSE	0
C3902FD.raw	MT1219	10	FALSE	0
C3903FD.raw	MT1219	11	FALSE	0
C3904FD.raw	MT1219	12	FALSE	0
C3942FD.raw	MT1364	1	FALSE	0
C3943FD.raw	MT1364	2	FALSE	0
C3944FD.raw	MT1364	3	FALSE	0
C3945FD.raw	MT1364	4	FALSE	0
C3946FD.raw	MT1364	5	FALSE	0
C3947FD.raw	MT1364	6	FALSE	0
C3948FD.raw	MT1364	7	FALSE	0
C3949FD.raw	MT1364	8	FALSE	0
C3950FD.raw	MT1364	9	FALSE	0
C3951FD.raw	MT1364	10	FALSE	0
C3952FD.raw	MT1364	11	FALSE	0
C3953FD.raw	MT1364	12	FALSE	0
C3954FD.raw	MT1377	1	FALSE	0
C3955FD.raw	MT1377	2	FALSE	0
C3956FD.raw	MT1377	3	FALSE	0
C3957FD.raw	MT1377	4	FALSE	0
C3958FD.raw	MT1377	5	FALSE	0
C3959FD.raw	MT1377	6	FALSE	0
C3960FD.raw	MT1377	7	FALSE	0
C3961FD.raw	MT1377	8	FALSE	0
C3962FD.raw	MT1377	9	FALSE	0
C3963FD.raw	MT1377	10	FALSE	0
C3964FD.raw	MT1377	11	FALSE	0
C3965FD.raw	MT1377	12	FALSE	0
C4027FD.raw	MT1402	1	FALSE	0
C4028FD.raw	MT1402	2	FALSE	0
C4029FD.raw	MT1402	3	FALSE	0
C4030FD.raw	MT1402	4	FALSE	0
C4031FD.raw	MT1402	5	FALSE	0
C4032FD.raw	MT1402	6	FALSE	0
C4033FD.raw	MT1402	7	FALSE	0
C4034FD.raw	MT1402	8	FALSE	0
C4035FD.raw	MT1402	9	FALSE	0
C4036FD.raw	MT1402	10	FALSE	0
C4037FD.raw	MT1402	11	FALSE	0
C4038FD.raw	MT1402	12	FALSE	0
C3881FD.raw	MT161	1	FALSE	0
C3882FD.raw	MT161	2	FALSE	0
C3883FD.raw	MT161	3	FALSE	0
C3884FD.raw	MT161	4	FALSE	0
C3885FD.raw	MT161	5	FALSE	0
C3886FD.raw	MT161	6	FALSE	0
C3887FD.raw	MT161	7	FALSE	0
C3888FD.raw	MT161	8	FALSE	0
C3889FD.raw	MT161	9	FALSE	0
C3890FD.raw	MT161	10	FALSE	0
C3891FD.raw	MT161	11	FALSE	0
C3892FD.raw	MT161	12	FALSE	0
C3818FD.raw	MT229	1	FALSE	0
C3819FD.raw	MT229	2	FALSE	0
C3820FD.raw	MT229	3	FALSE	0
C3821FD.raw	MT229	4	FALSE	0
C3822FD.raw	MT229	5	FALSE	0
C3823FD.raw	MT229	6	FALSE	0
C3824FD.raw	MT229	7	FALSE	0
C3825FD.raw	MT229	8	FALSE	0
C3826FD.raw	MT229	9	FALSE	0
C3827FD.raw	MT229	10	FALSE	0
C3828FD.raw	MT229	11	FALSE	0
C3829FD.raw	MT229	12	FALSE	0
C3966FD.raw	MT2381	1	FALSE	0
C3967FD.raw	MT2381	2	FALSE	0
C3968FD.raw	MT2381	3	FALSE	0
C3969FD.raw	MT2381	4	FALSE	0
C3970FD.raw	MT2381	5	FALSE	0
C3971FD.raw	MT2381	6	FALSE	0
C3972FD.raw	MT2381	7	FALSE	0
C3973FD.raw	MT2381	8	FALSE	0
C3974FD.raw	MT2381	9	FALSE	0
C3975FD.raw	MT2381	10	FALSE	0
C3976FD.raw	MT2381	11	FALSE	0
C3977FD.raw	MT2381	12	FALSE	0
C3930FD.raw	MT314	1	FALSE	0
C3931FD.raw	MT314	2	FALSE	0
C3932FD.raw	MT314	3	FALSE	0
C3933FD.raw	MT314	4	FALSE	0
C3934FD.raw	MT314	5	FALSE	0
C3935FD.raw	MT314	6	FALSE	0
C3936FD.raw	MT314	7	FALSE	0
C3937FD.raw	MT314	8	FALSE	0
C3938FD.raw	MT314	9	FALSE	0
C3939FD.raw	MT314	10	FALSE	0
C3940FD.raw	MT314	11	FALSE	0
C3941FD.raw	MT314	12	FALSE	0
C3842FD.raw	MT435	1	FALSE	0
C3843FD.raw	MT435	2	FALSE	0
C3844FD.raw	MT435	3	FALSE	0
C3845FD.raw	MT435	4	FALSE	0
C3846FD.raw	MT435	5	FALSE	0
C3847FD.raw	MT435	6	FALSE	0
C3848FD.raw	MT435	7	FALSE	0
C3849FD.raw	MT435	8	FALSE	0
